,Nome,Sobrenome,Sexo,CPF,Idade,ID_Produto,Produto,Quantidade,Valor_Unitario,Total_Compra,Imposto_Produto,Cidade,Estado,Pais,Data,Forma_Pagamento
179,Maria Eduarda,Gonçalves,Feminino,823.516.407-80,26,04,Impressora,1,800.0,800.0,80.0,Cardoso,AP,Brasil,2024-03-05,Especie
180,Luna,Moreira,Feminino,873.150.924-04,57,04,Impressora,1,800.0,800.0,80.0,Pastor de da Mata,PA,Brasil,2024-06-22,Credito
181,Ana Julia,Nascimento,Feminino,039.574.168-84,49,04,Impressora,3,800.0,2400.0,240.0,Macedo,RJ,Brasil,2024-11-30,Credito
182,Heloisa,Costa,Feminino,762.830.459-10,55,02,Smartphone,2,2000.0,4000.0,400.0,Peixoto,RS,Brasil,2024-12-03,Debito
183,Letícia,Lopes,Feminino,243.051.689-60,45,01,Notebook,2,3500.0,7000.0,700.0,Sá da Praia,PA,Brasil,2024-12-11,Especie
184,Renan,Pereira,Masculino,538.041.976-39,57,08,HeadSet,3,250.0,750.0,75.0,Santos Verde,PE,Brasil,2024-10-26,Credito
185,Lívia,Rocha,Feminino,390.625.184-51,25,07,Mouse,2,80.0,160.0,16.0,Leão de Sá,AM,Brasil,2024-01-30,Credito
186,Ana Beatriz,Pacheco,Feminino,421.603.789-50,43,02,Smartphone,1,2000.0,2000.0,200.0,Teixeira de Goiás,ES,Brasil,2024-03-20,Debito
187,Guilherme,Albuquerque,Masculino,268.905.471-01,41,07,Mouse,3,80.0,240.0,24.0,Cavalcanti dos Dourados,MG,Brasil,2024-05-12,Credito
188,Mirella,Vargas,Feminino,861.392.570-77,34,08,HeadSet,3,250.0,750.0,75.0,Pacheco de Costa,AP,Brasil,2024-03-16,Especie
189,Arthur Gabriel,Camargo,Masculino,592.378.640-00,30,10,Suporte Monitor,3,150.0,450.0,45.0,Teixeira,MT,Brasil,2024-02-22,PIX
190,Rodrigo,Cavalcanti,Masculino,910.278.654-02,41,09,Cadeira Gamer,1,900.0,900.0,90.0,Macedo,SC,Brasil,2024-09-19,Especie
191,Lorena,da Costa,Feminino,602.715.439-06,41,09,Cadeira Gamer,2,900.0,1800.0,180.0,Gonçalves de da Paz,AC,Brasil,2024-06-16,PIX
192,Alana,Moura,Feminino,905.826.374-65,60,08,HeadSet,1,250.0,250.0,25.0,da Mata,MT,Brasil,2024-12-25,Credito
193,Ravi Lucca,Lopes,Masculino,457.298.360-74,21,06,Teclado,3,200.0,600.0,60.0,Melo da Serra,AC,Brasil,2024-07-17,Especie
194,Asafe,Porto,Masculino,079.842.536-92,19,10,Suporte Monitor,1,150.0,150.0,15.0,Abreu,TO,Brasil,2024-09-06,Debito
195,Ísis,Nogueira,Feminino,682.731.504-53,45,05,Monitor,3,950.0,2850.0,285.0,Campos de Cunha,RO,Brasil,2024-08-08,PIX
196,José Pedro,da Luz,Masculino,865.471.392-55,21,10,Suporte Monitor,1,150.0,150.0,15.0,Moura,SP,Brasil,2024-07-12,Credito
197,Calebe,Novais,Masculino,974.815.062-30,29,08,HeadSet,1,250.0,250.0,25.0,Ramos,MG,Brasil,2024-09-17,Credito
198,Levi,Vasconcelos,Masculino,381.604.957-57,27,03,Tablet,3,3000.0,9000.0,900.0,Rios do Sul,BA,Brasil,2024-06-27,Credito
199,Otto,Rios,Masculino,274.581.906-20,59,01,Notebook,2,3500.0,7000.0,700.0,Azevedo,SE,Brasil,2024-09-09,Especie
200,Alana,Rodrigues,Feminino,274.651.039-16,29,09,Cadeira Gamer,2,900.0,1800.0,180.0,Ferreira Paulista,AP,Brasil,2024-08-20,PIX
201,Mariana,Lima,Feminino,956.214.078-49,21,02,Smartphone,2,2000.0,4000.0,400.0,Nunes,PA,Brasil,2024-01-11,Debito
202,Juliana,Rocha,Feminino,082.415.976-49,38,01,Notebook,3,3500.0,10500.0,1050.0,da Cunha Paulista,AP,Brasil,2024-11-09,Especie
203,Agatha,da Paz,Feminino,489.302.617-87,51,07,Mouse,2,80.0,160.0,16.0,da Mota,RN,Brasil,2024-09-28,Especie
204,Hadassa,da Paz,Feminino,307.156.289-68,46,06,Teclado,3,200.0,600.0,60.0,Borges,MA,Brasil,2024-05-31,Especie
205,Clarice,Duarte,Feminino,548.710.263-53,24,06,Teclado,1,200.0,200.0,20.0,Brito,RJ,Brasil,2024-11-23,PIX
206,Vinicius,Novaes,Masculino,496.015.287-76,38,05,Monitor,3,950.0,2850.0,285.0,Aragão da Serra,ES,Brasil,2024-08-10,Credito
207,Zoe,da Luz,Feminino,986.037.415-57,26,06,Teclado,3,200.0,600.0,60.0,Pastor,PB,Brasil,2024-03-12,Credito
208,Anthony Gabriel,Caldeira,Masculino,528.614.397-00,58,07,Mouse,1,80.0,80.0,8.0,Santos do Galho,CE,Brasil,2024-03-03,Especie
209,Nicolas,Rios,Masculino,061.524.789-01,43,07,Mouse,2,80.0,160.0,16.0,Montenegro,MS,Brasil,2024-03-15,Debito
210,Maria Flor,Gomes,Feminino,840.637.195-10,55,04,Impressora,3,800.0,2400.0,240.0,Albuquerque,BA,Brasil,2024-10-26,Debito
211,Brenda,Novaes,Feminino,948.106.732-78,36,07,Mouse,3,80.0,240.0,24.0,Teixeira,PI,Brasil,2024-06-11,Credito
212,Stella,Moreira,Feminino,216.789.504-67,39,08,HeadSet,2,250.0,500.0,50.0,Siqueira,SP,Brasil,2024-04-12,Debito
213,Enzo,da Conceição,Masculino,095.621.483-51,57,02,Smartphone,2,2000.0,4000.0,400.0,da Luz do Oeste,MS,Brasil,2024-12-02,PIX
214,Valentim,Vargas,Masculino,152.480.796-67,24,02,Smartphone,1,2000.0,2000.0,200.0,Rezende,GO,Brasil,2024-02-02,Especie
215,Sophia,Cunha,Feminino,657.180.429-85,35,07,Mouse,1,80.0,80.0,8.0,Cassiano de Machado,BA,Brasil,2024-05-23,Credito
216,Mariane,Vieira,Feminino,145.983.072-50,33,04,Impressora,1,800.0,800.0,80.0,Campos,DF,Brasil,2024-07-05,PIX
217,Camila,Guerra,Feminino,278.906.154-85,20,03,Tablet,1,3000.0,3000.0,300.0,Nogueira,PA,Brasil,2024-06-19,Especie
218,Theo,da Luz,Masculino,154.697.032-07,49,03,Tablet,1,3000.0,3000.0,300.0,Macedo,TO,Brasil,2024-04-14,Credito
219,Gustavo Henrique,Alves,Masculino,804.791.253-41,23,09,Cadeira Gamer,2,900.0,1800.0,180.0,Peixoto,RJ,Brasil,2024-07-24,Especie
220,Júlia,Novais,Feminino,583.041.697-20,18,07,Mouse,3,80.0,240.0,24.0,da Mata,PE,Brasil,2024-02-25,PIX
221,Isaque,Lima,Masculino,824.310.695-24,47,07,Mouse,1,80.0,80.0,8.0,Nogueira,MG,Brasil,2024-03-12,Credito
222,Sophia,da Paz,Feminino,853.614.207-35,27,04,Impressora,3,800.0,2400.0,240.0,da Rocha do Amparo,BA,Brasil,2024-06-23,Debito
223,Emilly,Sampaio,Feminino,374.265.190-07,42,03,Tablet,1,3000.0,3000.0,300.0,Dias de Duarte,AL,Brasil,2024-10-30,Credito
224,Igor,Pinto,Masculino,192.735.068-95,33,08,HeadSet,1,250.0,250.0,25.0,Pacheco de da Rosa,RR,Brasil,2024-11-18,Especie
225,Luísa,Almeida,Feminino,305.274.981-14,47,08,HeadSet,2,250.0,500.0,50.0,da Cruz,SE,Brasil,2024-02-28,Debito
226,Maria Luiza,da Cruz,Feminino,745.306.812-62,21,01,Notebook,2,3500.0,7000.0,700.0,Oliveira de Fernandes,RR,Brasil,2024-07-26,Especie
227,Ágatha,Melo,Feminino,178.923.650-95,23,07,Mouse,1,80.0,80.0,8.0,da Rosa,MA,Brasil,2024-09-17,Especie
228,Isis,Almeida,Feminino,405.319.872-05,37,02,Smartphone,3,2000.0,6000.0,600.0,Macedo,RR,Brasil,2024-02-28,PIX
229,Clara,Mendonça,Feminino,241.639.850-42,47,07,Mouse,2,80.0,160.0,16.0,Pacheco,AL,Brasil,2024-06-19,PIX
230,João Miguel,Viana,Masculino,930.721.865-02,60,05,Monitor,2,950.0,1900.0,190.0,da Mata das Flores,DF,Brasil,2024-05-29,Especie
231,Stella,da Cunha,Feminino,031.876.542-07,51,01,Notebook,2,3500.0,7000.0,700.0,Andrade,PI,Brasil,2024-05-18,PIX
232,João Felipe,Rocha,Masculino,921.087.564-85,26,08,HeadSet,3,250.0,750.0,75.0,Barbosa dos Dourados,DF,Brasil,2024-03-04,Debito
233,Isabelly,Mendonça,Feminino,657.038.194-66,54,06,Teclado,3,200.0,600.0,60.0,Silveira de Correia,SC,Brasil,2024-12-10,Especie
234,Carolina,Teixeira,Feminino,785.069.243-83,59,06,Teclado,1,200.0,200.0,20.0,Teixeira,RJ,Brasil,2024-04-11,Debito
235,Pedro Miguel,Cirino,Masculino,732.906.815-21,52,03,Tablet,2,3000.0,6000.0,600.0,Lima,ES,Brasil,2024-06-03,Debito
236,Manuella,Barros,Feminino,409.762.815-11,48,07,Mouse,3,80.0,240.0,24.0,Moura do Galho,SE,Brasil,2024-03-01,Credito
237,Arthur Gabriel,Vieira,Masculino,385.417.269-91,41,01,Notebook,2,3500.0,7000.0,700.0,Fernandes Alegre,PA,Brasil,2024-03-23,Credito
238,Mateus,da Cunha,Masculino,207.164.953-25,53,02,Smartphone,1,2000.0,2000.0,200.0,Martins,MS,Brasil,2024-08-26,Debito
239,Samuel,Moura,Masculino,085.729.416-49,34,07,Mouse,3,80.0,240.0,24.0,Vieira do Norte,PB,Brasil,2024-05-07,Debito
240,Beatriz,Pires,Feminino,091.268.453-42,46,04,Impressora,3,800.0,2400.0,240.0,Nascimento,PR,Brasil,2024-07-01,Credito
241,Davi Miguel,Rios,Masculino,749.831.206-96,44,08,HeadSet,3,250.0,750.0,75.0,Araújo,RR,Brasil,2024-07-19,Debito
242,Antony,Lopes,Masculino,628.059.437-83,42,04,Impressora,2,800.0,1600.0,160.0,Rocha da Praia,SE,Brasil,2024-06-06,Especie
243,Maria Laura,Nascimento,Feminino,410.938.256-42,48,04,Impressora,1,800.0,800.0,80.0,Pinto,ES,Brasil,2024-12-18,PIX
244,Paulo,da Luz,Masculino,759.364.120-16,32,03,Tablet,1,3000.0,3000.0,300.0,Sousa,RJ,Brasil,2024-03-09,Debito
245,Bruno,Barbosa,Masculino,281.053.946-42,48,09,Cadeira Gamer,2,900.0,1800.0,180.0,Novaes do Norte,MA,Brasil,2024-12-25,Credito
246,Lara,Sousa,Feminino,684.970.523-74,24,02,Smartphone,1,2000.0,2000.0,200.0,Almeida,ES,Brasil,2024-05-13,Credito
247,Luiz Otávio,Lopes,Masculino,539.781.026-68,57,07,Mouse,3,80.0,240.0,24.0,Macedo,DF,Brasil,2024-03-27,Debito
248,Brenda,Rezende,Feminino,589.730.216-21,56,04,Impressora,1,800.0,800.0,80.0,Jesus de da Conceição,RJ,Brasil,2024-06-01,Credito
249,Sara,Rezende,Feminino,970.361.824-31,27,09,Cadeira Gamer,1,900.0,900.0,90.0,Cassiano,BA,Brasil,2024-03-15,Debito
250,Antony,Farias,Masculino,549.102.836-33,24,08,HeadSet,3,250.0,750.0,75.0,Campos,MS,Brasil,2024-06-22,Credito
251,Carlos Eduardo,Rios,Masculino,413.506.278-44,51,03,Tablet,2,3000.0,6000.0,600.0,Cassiano,RJ,Brasil,2024-05-09,Debito
252,Lavínia,Jesus,Feminino,603.921.857-68,45,07,Mouse,1,80.0,80.0,8.0,das Neves,PR,Brasil,2024-07-13,Debito
253,Diego,Fernandes,Masculino,750.316.289-95,36,09,Cadeira Gamer,2,900.0,1800.0,180.0,Gomes do Campo,SE,Brasil,2024-06-20,Debito
254,Antônio,Azevedo,Masculino,864.017.253-62,30,08,HeadSet,3,250.0,750.0,75.0,Carvalho das Pedras,GO,Brasil,2024-06-01,Especie
255,Murilo,Vasconcelos,Masculino,096.831.475-93,35,02,Smartphone,1,2000.0,2000.0,200.0,Mendonça Alegre,PB,Brasil,2024-05-15,Debito
256,Sofia,Santos,Feminino,261.839.407-04,37,05,Monitor,1,950.0,950.0,95.0,Camargo dos Dourados,SE,Brasil,2024-12-01,Especie
257,Maria Helena,Moreira,Feminino,827.695.301-86,60,02,Smartphone,3,2000.0,6000.0,600.0,Fogaça,AC,Brasil,2024-11-15,Credito
258,Mathias,Sousa,Masculino,941.576.038-93,38,09,Cadeira Gamer,1,900.0,900.0,90.0,Castro,AL,Brasil,2024-05-08,PIX
259,Apollo,Jesus,Masculino,791.528.403-79,44,02,Smartphone,1,2000.0,2000.0,200.0,Teixeira,SE,Brasil,2024-10-27,PIX
260,Sofia,Teixeira,Feminino,683.407.925-47,43,07,Mouse,2,80.0,160.0,16.0,Leão,SE,Brasil,2024-07-23,Debito
261,Antônio,Aparecida,Masculino,971.085.342-23,42,04,Impressora,1,800.0,800.0,80.0,Moura,RS,Brasil,2024-01-30,Credito
262,Eloá,Cavalcanti,Feminino,928.706.351-68,49,07,Mouse,2,80.0,160.0,16.0,da Mota,MG,Brasil,2024-03-05,Especie
263,Maria Luiza,Costa,Feminino,826.504.397-00,52,08,HeadSet,1,250.0,250.0,25.0,Rodrigues de Brito,GO,Brasil,2024-03-05,Debito
264,Leonardo,Sá,Masculino,679.802.153-03,23,02,Smartphone,2,2000.0,4000.0,400.0,Pinto de Campos,RS,Brasil,2024-02-24,Credito
265,Antônio,Lopes,Masculino,641.592.708-67,21,08,HeadSet,3,250.0,750.0,75.0,Freitas,CE,Brasil,2024-07-12,Credito
266,Joana,Moraes,Feminino,761.934.285-00,21,10,Suporte Monitor,3,150.0,450.0,45.0,Castro Alegre,ES,Brasil,2024-08-18,Especie
267,Maria Eduarda,das Neves,Feminino,560.279.134-52,56,05,Monitor,2,950.0,1900.0,190.0,Cavalcante do Norte,MG,Brasil,2024-02-10,PIX
268,Ana Cecília,Andrade,Feminino,361.987.240-69,29,02,Smartphone,3,2000.0,6000.0,600.0,Freitas,SP,Brasil,2024-06-08,Especie
269,Pedro Miguel,da Cruz,Masculino,459.063.872-00,53,06,Teclado,3,200.0,600.0,60.0,Ferreira de Vieira,MS,Brasil,2024-08-01,Debito
270,Enzo Gabriel,Guerra,Masculino,381.295.760-40,47,04,Impressora,2,800.0,1600.0,160.0,Cunha,AP,Brasil,2024-10-19,Debito
271,Helena,Sampaio,Feminino,239.017.845-60,46,07,Mouse,2,80.0,160.0,16.0,Sousa,RO,Brasil,2024-08-08,PIX
272,João,Aparecida,Masculino,431.276.098-50,24,04,Impressora,2,800.0,1600.0,160.0,Carvalho,PE,Brasil,2024-01-20,Especie
273,Isaac,Albuquerque,Masculino,602.438.759-83,55,04,Impressora,3,800.0,2400.0,240.0,Moraes Verde,MA,Brasil,2024-10-08,Debito
274,Julia,Rocha,Feminino,725.316.049-52,59,07,Mouse,2,80.0,160.0,16.0,Gonçalves,RS,Brasil,2024-04-25,Especie
275,Vicente,Lima,Masculino,683.940.521-42,25,10,Suporte Monitor,3,150.0,450.0,45.0,da Costa da Serra,RN,Brasil,2024-02-19,Especie
276,Emanuella,Silva,Feminino,368.947.012-96,48,05,Monitor,1,950.0,950.0,95.0,da Paz do Galho,DF,Brasil,2024-09-21,Debito
277,Gael,Moraes,Masculino,017.596.243-06,60,04,Impressora,2,800.0,1600.0,160.0,Moraes de Minas,AC,Brasil,2024-10-29,Especie
278,Isabel,Borges,Feminino,319.652.807-30,47,06,Teclado,2,200.0,400.0,40.0,Marques de Fonseca,BA,Brasil,2024-12-02,Especie
279,Théo,da Conceição,Masculino,947.126.850-85,21,05,Monitor,2,950.0,1900.0,190.0,Dias de Sá,MG,Brasil,2024-04-08,PIX
280,Gustavo Henrique,Vasconcelos,Masculino,589.376.041-75,30,07,Mouse,3,80.0,240.0,24.0,Peixoto da Praia,TO,Brasil,2024-11-30,Credito
281,Maria,Pimenta,Feminino,312.607.895-86,45,07,Mouse,1,80.0,80.0,8.0,Costa de Minas,PA,Brasil,2024-12-03,PIX
282,Lavínia,Pacheco,Feminino,503.847.691-01,27,07,Mouse,3,80.0,240.0,24.0,Monteiro,RJ,Brasil,2024-01-12,Credito
283,Hellena,Castro,Feminino,294.057.163-52,55,05,Monitor,1,950.0,950.0,95.0,Viana,DF,Brasil,2024-06-28,Debito
284,Leonardo,Carvalho,Masculino,837.690.215-68,54,08,HeadSet,3,250.0,750.0,75.0,Lima da Mata,AM,Brasil,2024-01-30,PIX
285,Benicio,Novais,Masculino,952.634.807-92,48,04,Impressora,3,800.0,2400.0,240.0,Dias da Serra,PR,Brasil,2024-07-13,Credito
286,Mariana,da Mota,Feminino,953.684.710-84,27,05,Monitor,2,950.0,1900.0,190.0,Macedo de da Luz,SC,Brasil,2024-06-14,Credito
287,Joaquim,Alves,Masculino,092.538.164-06,45,02,Smartphone,3,2000.0,6000.0,600.0,Andrade de Minas,SE,Brasil,2024-04-14,Debito
288,Antony,Ribeiro,Masculino,245.370.916-06,36,02,Smartphone,3,2000.0,6000.0,600.0,Costela,PB,Brasil,2024-07-05,Debito
289,Melina,Caldeira,Feminino,047.152.386-08,42,08,HeadSet,3,250.0,750.0,75.0,Moraes,PI,Brasil,2024-03-10,Debito
290,Gabrielly,Sampaio,Feminino,413.829.657-37,38,03,Tablet,1,3000.0,3000.0,300.0,Freitas,MS,Brasil,2024-04-19,PIX
291,Pietro,da Rosa,Masculino,578.019.632-02,39,05,Monitor,3,950.0,2850.0,285.0,Borges Verde,CE,Brasil,2024-03-03,Debito
292,Gustavo Henrique,Araújo,Masculino,706.529.413-70,30,08,HeadSet,2,250.0,500.0,50.0,Castro,PA,Brasil,2024-12-21,Credito
293,Otávio,Garcia,Masculino,306.419.275-25,34,05,Monitor,2,950.0,1900.0,190.0,Costa Grande,PB,Brasil,2024-07-04,Debito
294,Yasmin,Abreu,Feminino,179.482.650-58,47,10,Suporte Monitor,2,150.0,300.0,30.0,Ribeiro,MS,Brasil,2024-05-19,Debito
295,Dom,Barbosa,Masculino,253.784.091-79,31,01,Notebook,3,3500.0,10500.0,1050.0,Costela Grande,TO,Brasil,2024-03-26,Especie
296,Isabelly,Rezende,Feminino,528.930.674-92,56,09,Cadeira Gamer,2,900.0,1800.0,180.0,Farias das Pedras,ES,Brasil,2024-07-14,Debito
297,Davi Luiz,da Costa,Masculino,491.586.023-05,18,05,Monitor,1,950.0,950.0,95.0,Campos,PE,Brasil,2024-08-08,Credito
298,Raquel,da Mota,Feminino,420.937.581-05,24,04,Impressora,2,800.0,1600.0,160.0,Dias,PR,Brasil,2024-09-06,Especie
299,Cauê,Leão,Masculino,517.346.280-90,45,04,Impressora,1,800.0,800.0,80.0,Vargas Alegre,MT,Brasil,2024-05-24,PIX
300,Ester,Albuquerque,Feminino,026.437.598-00,40,04,Impressora,1,800.0,800.0,80.0,Casa Grande de Minas,PB,Brasil,2024-03-27,Especie
301,Leonardo,Pimenta,Masculino,195.267.340-25,57,02,Smartphone,2,2000.0,4000.0,400.0,Nascimento do Campo,PB,Brasil,2024-11-14,PIX
302,Maria Liz,Vieira,Feminino,621.984.537-46,42,10,Suporte Monitor,3,150.0,450.0,45.0,Rodrigues,PE,Brasil,2024-10-15,PIX
303,Heloisa,Machado,Feminino,631.470.582-71,59,08,HeadSet,1,250.0,250.0,25.0,Sá,DF,Brasil,2024-03-23,Debito
304,Alícia,Azevedo,Feminino,549.780.123-41,58,06,Teclado,1,200.0,200.0,20.0,Sales,BA,Brasil,2024-12-25,Especie
305,Emanuella,Moraes,Feminino,165.938.072-30,34,05,Monitor,2,950.0,1900.0,190.0,Novais,SP,Brasil,2024-07-24,Debito
306,Yasmin,Andrade,Feminino,075.693.428-10,52,05,Monitor,2,950.0,1900.0,190.0,Costa Alegre,RR,Brasil,2024-02-21,Debito
307,João Vitor,Ribeiro,Masculino,701.536.849-84,35,02,Smartphone,1,2000.0,2000.0,200.0,Pires de Nunes,RJ,Brasil,2024-03-28,PIX
308,Benício,Rezende,Masculino,427.916.308-13,28,07,Mouse,1,80.0,80.0,8.0,Castro de Cassiano,PE,Brasil,2024-08-05,PIX
309,Ravi Lucca,Sales,Masculino,562.379.801-21,35,03,Tablet,1,3000.0,3000.0,300.0,Souza,BA,Brasil,2024-01-02,Credito
310,Júlia,da Mota,Feminino,862.930.514-24,52,05,Monitor,1,950.0,950.0,95.0,Moraes de Lopes,MT,Brasil,2024-01-23,Debito
311,Rodrigo,Garcia,Masculino,961.035.842-05,31,04,Impressora,3,800.0,2400.0,240.0,Pires,RS,Brasil,2024-08-05,Debito
312,Davi,Pastor,Masculino,031.729.658-21,32,10,Suporte Monitor,3,150.0,450.0,45.0,Camargo,TO,Brasil,2024-10-27,PIX
313,Sara,Nunes,Feminino,054.976.138-10,54,10,Suporte Monitor,3,150.0,450.0,45.0,Montenegro,MS,Brasil,2024-01-27,Credito
314,Lucas Gabriel,Sousa,Masculino,907.284.615-01,53,08,HeadSet,3,250.0,750.0,75.0,Casa Grande de Goiás,MS,Brasil,2024-10-13,Credito
315,Eduarda,Brito,Feminino,243.051.698-51,33,06,Teclado,3,200.0,600.0,60.0,Rezende,PB,Brasil,2024-08-12,Debito
316,Yago,Macedo,Masculino,307.512.689-68,21,09,Cadeira Gamer,3,900.0,2700.0,270.0,Carvalho de da Paz,RS,Brasil,2024-05-04,Credito
317,Francisco,da Cunha,Masculino,872.163.905-12,52,01,Notebook,2,3500.0,7000.0,700.0,da Rosa,PR,Brasil,2024-06-08,Especie
318,Fernando,Fogaça,Masculino,701.943.628-50,60,05,Monitor,1,950.0,950.0,95.0,Sá de Rodrigues,AM,Brasil,2024-07-17,Especie
319,Ana Cecília,Aparecida,Feminino,531.094.768-00,21,05,Monitor,1,950.0,950.0,95.0,Costela de Goiás,RS,Brasil,2024-02-06,Debito
320,Valentina,da Costa,Feminino,265.079.438-00,48,06,Teclado,3,200.0,600.0,60.0,Ribeiro,AM,Brasil,2024-10-11,Credito
321,Amanda,Aragão,Feminino,298.706.413-69,35,07,Mouse,3,80.0,240.0,24.0,Teixeira,MT,Brasil,2024-03-25,Especie
322,Alexia,Viana,Feminino,813.490.267-78,41,02,Smartphone,1,2000.0,2000.0,200.0,Duarte,MT,Brasil,2024-05-29,PIX
323,Milena,Casa Grande,Feminino,237.815.904-88,21,08,HeadSet,2,250.0,500.0,50.0,Santos da Prata,SE,Brasil,2024-07-20,Especie
324,Emanuelly,da Mata,Feminino,957.186.324-64,39,02,Smartphone,1,2000.0,2000.0,200.0,Sampaio,PA,Brasil,2024-11-26,Credito
325,Lara,Ferreira,Feminino,568.204.139-98,46,07,Mouse,1,80.0,80.0,8.0,Cardoso de Ribeiro,PA,Brasil,2024-10-08,PIX
326,Mateus,Pinto,Masculino,914.850.267-76,18,07,Mouse,2,80.0,160.0,16.0,Cirino das Flores,MT,Brasil,2024-06-01,PIX
327,Sofia,Cavalcanti,Feminino,034.981.275-60,29,08,HeadSet,1,250.0,250.0,25.0,Nascimento das Flores,AC,Brasil,2024-08-06,Especie
328,Emanuel,Montenegro,Masculino,695.018.237-68,23,03,Tablet,3,3000.0,9000.0,900.0,Carvalho,RJ,Brasil,2024-10-06,Especie
329,Calebe,da Rocha,Masculino,951.024.738-32,54,10,Suporte Monitor,2,150.0,300.0,30.0,Leão de Araújo,CE,Brasil,2024-03-02,PIX
330,Vinícius,Sousa,Masculino,513.974.820-79,37,08,HeadSet,3,250.0,750.0,75.0,da Luz,RO,Brasil,2024-02-17,PIX
331,Thales,Gomes,Masculino,186.523.497-46,23,10,Suporte Monitor,2,150.0,300.0,30.0,Fogaça,PR,Brasil,2024-12-23,Credito
332,Anna Liz,Monteiro,Feminino,482.697.153-28,18,09,Cadeira Gamer,3,900.0,2700.0,270.0,da Mata de Moreira,DF,Brasil,2024-12-06,Credito
333,Lorenzo,Casa Grande,Masculino,295.364.807-00,45,03,Tablet,2,3000.0,6000.0,600.0,Leão Paulista,PE,Brasil,2024-06-26,Debito
334,Leonardo,Cassiano,Masculino,643.751.809-00,53,02,Smartphone,3,2000.0,6000.0,600.0,Duarte,GO,Brasil,2024-12-27,Debito
335,Noah,Barbosa,Masculino,963.851.207-59,19,01,Notebook,2,3500.0,7000.0,700.0,Carvalho do Sul,TO,Brasil,2024-10-01,PIX
336,Camila,Ribeiro,Feminino,346.715.980-00,47,02,Smartphone,3,2000.0,6000.0,600.0,Moura,RR,Brasil,2024-06-06,Credito
337,Emanuella,Gonçalves,Feminino,190.547.368-01,49,09,Cadeira Gamer,3,900.0,2700.0,270.0,Rocha do Sul,RS,Brasil,2024-04-17,Especie
338,João Felipe,Pastor,Masculino,314.297.568-37,59,09,Cadeira Gamer,2,900.0,1800.0,180.0,Casa Grande de da Costa,AC,Brasil,2024-09-08,Debito
339,Sabrina,Santos,Feminino,130.294.567-06,45,07,Mouse,3,80.0,240.0,24.0,Abreu,PE,Brasil,2024-09-27,Debito
340,Miguel,Vieira,Masculino,270.158.643-71,22,06,Teclado,2,200.0,400.0,40.0,Aragão,MG,Brasil,2024-10-14,Especie
341,Eloah,Nascimento,Feminino,360.592.714-99,40,03,Tablet,2,3000.0,6000.0,600.0,da Cruz,MS,Brasil,2024-11-15,Debito
342,Lorenzo,Vieira,Masculino,389.170.526-30,50,06,Teclado,3,200.0,600.0,60.0,Fernandes,RR,Brasil,2024-01-27,Especie
343,Ravi Lucca,Pereira,Masculino,270.486.935-92,38,07,Mouse,3,80.0,240.0,24.0,Pimenta,GO,Brasil,2024-06-11,PIX
344,Noah,da Conceição,Masculino,528.671.403-07,57,04,Impressora,1,800.0,800.0,80.0,Costela,AC,Brasil,2024-04-18,Especie
345,Gustavo Henrique,Cavalcanti,Masculino,521.940.683-33,54,01,Notebook,2,3500.0,7000.0,700.0,Rios,SP,Brasil,2024-08-14,Credito
346,Erick,Silva,Masculino,294.063.857-83,48,08,HeadSet,2,250.0,500.0,50.0,Souza Verde,PB,Brasil,2024-01-09,PIX
347,João Lucas,Marques,Masculino,273.059.614-34,24,05,Monitor,1,950.0,950.0,95.0,Martins,SC,Brasil,2024-05-18,PIX
348,João Miguel,Mendes,Masculino,734.208.561-80,27,02,Smartphone,2,2000.0,4000.0,400.0,Siqueira Grande,RJ,Brasil,2024-08-16,Credito
349,Natália,Cavalcanti,Feminino,846.201.593-60,60,09,Cadeira Gamer,3,900.0,2700.0,270.0,Novaes de Goiás,AL,Brasil,2024-10-30,PIX
350,Kamilly,Ribeiro,Feminino,128.639.570-40,25,07,Mouse,2,80.0,160.0,16.0,da Conceição,AM,Brasil,2024-01-16,Especie
351,Gabrielly,Moraes,Feminino,423.657.908-10,37,01,Notebook,3,3500.0,10500.0,1050.0,Pacheco da Mata,RS,Brasil,2024-08-28,Especie
352,Maria,Nogueira,Feminino,276.395.841-91,42,01,Notebook,2,3500.0,7000.0,700.0,Vieira,ES,Brasil,2024-09-11,Credito
353,Ayla,Aragão,Feminino,495.173.862-73,55,09,Cadeira Gamer,3,900.0,2700.0,270.0,Mendonça,AC,Brasil,2024-09-15,PIX
354,Levi,da Mata,Masculino,052.981.746-20,25,01,Notebook,1,3500.0,3500.0,350.0,Nascimento Alegre,MT,Brasil,2024-02-09,Debito
355,João,Cassiano,Masculino,735.182.046-53,35,02,Smartphone,2,2000.0,4000.0,400.0,Melo do Sul,TO,Brasil,2024-04-28,Credito
356,Ísis,Pinto,Feminino,071.586.942-67,39,03,Tablet,2,3000.0,6000.0,600.0,Alves de Albuquerque,AP,Brasil,2024-04-29,Credito
357,Ana Clara,Gonçalves,Feminino,782.961.405-94,45,03,Tablet,3,3000.0,9000.0,900.0,Duarte de Ramos,PA,Brasil,2024-05-23,Debito
358,Dante,Mendes,Masculino,076.431.859-48,55,06,Teclado,1,200.0,200.0,20.0,Cardoso,MA,Brasil,2024-07-24,Debito
